"Genotype" "predicted.value" "standard.error" "est.status"
"233" "F1F008M011" 0.407596702439857 0.0541257745731087 "Estimable"
"234" "F1F008M012" 0.452784298100757 0.0541241099227904 "Estimable"
"235" "F1F008M013" 0.238250135061504 0.0541366613201913 "Estimable"
"236" "F1F008M014" 0.344479003053879 0.0541193563667239 "Estimable"
"237" "F1F008M015" 0.332968372891099 0.0541617685516334 "Estimable"
"238" "F1F009M001" 0.292062834159882 0.0541326762698325 "Estimable"
"239" "F1F009M002" 0.334868392683244 0.0541259471335186 "Estimable"
"240" "F1F009M003" 0.26798391366475 0.0541289119588816 "Estimable"
"241" "F1F009M004" 0.231275318308221 0.0541386404796377 "Estimable"
"242" "F1F009M005" 0.308192444119507 0.0541388676465199 "Estimable"
"243" "F1F009M006" 0.250246748650813 0.0541261517573823 "Estimable"
"244" "F1F009M007" 0.383495771066541 0.0541327808581335 "Estimable"
"245" "F1F009M008" 0.282871787633578 0.054125849915742 "Estimable"
"246" "F1F009M009" 0.308915165841858 0.0541318381439851 "Estimable"
"247" "F1F009M010" 0.448883893389839 0.0541327964251146 "Estimable"
"248" "F1F009M011" 0.31541084118995 0.0541201956531183 "Estimable"
"249" "F1F009M012" 0.347159037742618 0.0541299749900645 "Estimable"
"250" "F1F009M013" 0.303845742950601 0.0541130068647096 "Estimable"
"251" "F1F009M014" 0.241748119562392 0.0541176115927334 "Estimable"
"252" "F1F009M015" 0.303331198516152 0.0541328527607509 "Estimable"
"253" "F1F010M001" 0.34245688731227 0.054121852216789 "Estimable"
"254" "F1F010M002" 0.301620821796434 0.0592681127357576 "Estimable"
"255" "F1F010M003" 0.455839142521236 0.0541263308800887 "Estimable"
"256" "F1F010M004" 0.371235340305594 0.0541325249748327 "Estimable"
"257" "F1F010M005" 0.425037448704935 0.0541376153707837 "Estimable"
"258" "F1F010M006" 0.406090074371044 0.0541655882390022 "Estimable"
"259" "F1F010M007" 0.507775249334135 0.054137815066916 "Estimable"
"260" "F1F010M008" 0.374315798961439 0.0541258865314694 "Estimable"
"261" "F1F010M009" 0.418662252137987 0.0541257683904273 "Estimable"
"262" "F1F010M010" 0.649118756251095 0.0541263142438223 "Estimable"
"263" "F1F010M011" 0.44153621208822 0.0541314867894871 "Estimable"
"264" "F1F010M012" 0.328756619438459 0.0541337825907315 "Estimable"
"265" "F1F010M013" 0.278213568741608 0.0541305179851899 "Estimable"
"266" "F1F010M014" 0.380011648368261 0.0541377348475347 "Estimable"
"267" "F1F010M015" 0.334342201149376 0.0541196427022359 "Estimable"
"268" "F1F011M001" 0.312798675657105 0.066058240177234 "Estimable"
"269" "F1F011M003" 0.307296635450039 0.0660640638444787 "Estimable"
"270" "F1F011M005" 0.423203138371388 0.066058171222665 "Estimable"
"271" "F1F011M006" 0.271505956100664 0.0660135620971922 "Estimable"
"272" "F1F011M007" 0.436077667232029 0.0660730895667748 "Estimable"
"273" "F1F011M008" 0.376094096962583 0.0660066608239115 "Estimable"
"274" "F1F011M010" 0.555055028553491 0.0660643562267585 "Estimable"
"275" "F1F011M012" 0.467623636200917 0.0660836450863113 "Estimable"
"276" "F1F011M013" 0.251388669181014 0.0659976829023093 "Estimable"
"277" "F1F011M014" 0.436075238266626 0.0660582642078775 "Estimable"
"278" "F1F011M015" 0.42296446177842 0.0660640991410725 "Estimable"
"279" "F1F012M001" 0.266693749875429 0.0541262302704368 "Estimable"
"280" "F1F012M002" 0.339321869537709 0.0541244138244012 "Estimable"
"281" "F1F012M003" 0.295563853587377 0.0541327486196596 "Estimable"
"282" "F1F012M004" 0.303041598290832 0.0541320011157854 "Estimable"
"283" "F1F012M005" 0.358451041945085 0.0541260554613519 "Estimable"
"284" "F1F012M006" 0.331976468401328 0.0541345933315136 "Estimable"
"285" "F1F012M007" 0.296451146277118 0.0541266508392736 "Estimable"
"286" "F1F012M008" 0.280313883110181 0.0541190790829895 "Estimable"
"287" "F1F012M009" 0.337307558544069 0.0541280098715891 "Estimable"
"288" "F1F012M010" 0.462396539464669 0.0541372189346924 "Estimable"
"289" "F1F012M011" 0.34160846371461 0.0541176090350467 "Estimable"
"290" "F1F012M012" 0.417460841525991 0.0541339480237491 "Estimable"
"291" "F1F012M013" 0.291027357486611 0.0541261117875561 "Estimable"
"292" "F1F012M014" 0.309567721170319 0.0541262345199019 "Estimable"
"293" "F1F012M015" 0.307899655669607 0.0541255569094832 "Estimable"
"294" "F1F013M001" 0.349755690217308 0.0541342363126041 "Estimable"
"295" "F1F013M002" 0.352904127641022 0.0541195045036466 "Estimable"
"296" "F1F013M003" 0.407718169196649 0.054126949508438 "Estimable"
"297" "F1F013M004" 0.220253288045716 0.0541317942316271 "Estimable"
"298" "F1F013M005" 0.48836703477012 0.054132594012987 "Estimable"
"299" "F1F013M006" 0.446117824801442 0.0541318878045515 "Estimable"
"300" "F1F013M007" 0.476838180521921 0.0541318955628881 "Estimable"
"301" "F1F013M008" 0.436884833548154 0.0541321446050074 "Estimable"
"302" "F1F013M009" 0.46025959295483 0.0541372995403173 "Estimable"
"303" "F1F013M010" 0.573575410377333 0.0541243651292455 "Estimable"
"304" "F1F013M011" 0.446573588903778 0.0541192916047648 "Estimable"
"305" "F1F013M012" 0.387449617584474 0.0541194842848087 "Estimable"
"306" "F1F013M013" 0.33611986933606 0.0541255569924629 "Estimable"
"307" "F1F013M014" 0.428781831447406 0.0541484775371375 "Estimable"
"308" "F1F013M015" 0.368781910376857 0.0541265623611313 "Estimable"
"309" "F1F014M001" 0.310153098525658 0.0541257143049717 "Estimable"
"310" "F1F014M002" 0.348656682417847 0.0541306219139674 "Estimable"
"311" "F1F014M003" 0.431484546768005 0.0541303389381044 "Estimable"
"312" "F1F014M004" 0.313612817543777 0.0541321090278753 "Estimable"
"313" "F1F014M005" 0.369120670018273 0.0541197328949885 "Estimable"
"314" "F1F014M006" 0.335585014974824 0.0541127648261522 "Estimable"
"315" "F1F014M007" 0.447955090626128 0.0541259335885589 "Estimable"
"316" "F1F014M008" 0.277096459534304 0.054138554020016 "Estimable"
"317" "F1F014M009" 0.42131183466226 0.0541140342139153 "Estimable"
"318" "F1F014M010" 0.384682868590351 0.0541418073352909 "Estimable"
"319" "F1F014M011" 0.365076539124855 0.0541263409824755 "Estimable"
"320" "F1F014M012" 0.331932159588998 0.0541316374778493 "Estimable"
"321" "F1F014M013" 0.31187213463842 0.0541320937146312 "Estimable"
"322" "F1F014M014" 0.331707348936441 0.0541238678868831 "Estimable"
"323" "F1F014M015" 0.257744627216014 0.0541332293833109 "Estimable"
"324" "F1F015M001" 0.389161325751262 0.0660592162494129 "Estimable"
"325" "F1F015M002" 0.463113494911018 0.0660606217660955 "Estimable"
"326" "F1F015M003" 0.380698429424001 0.0660600263987666 "Estimable"
"327" "F1F015M005" 0.252860879537692 0.0660647729909141 "Estimable"
"328" "F1F015M006" 0.265167482265334 0.0660837913872385 "Estimable"
"329" "F1F015M007" 0.384478586903118 0.0660606842797768 "Estimable"
"330" "F1F015M008" 0.340145077653057 0.0660490561800457 "Estimable"
"331" "F1F015M009" 0.261776831072831 0.0660741059997843 "Estimable"
"332" "F1F015M010" 0.383518802058007 0.0661395605849907 "Estimable"
"333" "F1F015M011" 0.357985612438557 0.0660642186059992 "Estimable"
"334" "F1F015M013" 0.266598992749761 0.0660552086190796 "Estimable"
"335" "F1F015M014" 0.295541950875597 0.0660736559825587 "Estimable"
"336" "F1F015M015" 0.233225605992372 0.0660736507049516 "Estimable"
"337" "F1F016M001" 0.353840157427854 0.0660590544602569 "Estimable"
"338" "F1F016M002" 0.254982760392771 0.0660649887084541 "Estimable"
"339" "F1F016M003" 0.310055768370751 0.0660685202973543 "Estimable"
"340" "F1F016M005" 0.303885153518051 0.0660681877562958 "Estimable"
"341" "F1F016M006" 0.266725528221562 0.0660516647368108 "Estimable"
"342" "F1F016M007" 0.497383426139325 0.0660640041598791 "Estimable"
"343" "F1F016M008" 0.448334819022872 0.0660467547297741 "Estimable"
"344" "F1F016M009" 0.268766314129368 0.066058429060913 "Estimable"
"345" "F1F016M010" 0.486521137777904 0.0660676300929968 "Estimable"
"346" "F1F016M012" 0.281656416681218 0.0660591528427965 "Estimable"
"347" "F1F016M013" 0.263757088140547 0.0660690822015284 "Estimable"
"348" "F1F016M014" 0.387048199922563 0.0660792294150979 "Estimable"
